,ID,artist,song,link,text,album,released,genre,home_country,singer_age_at_release,entity,topic
And it's hard to read just how you feel or what your dreams desire?  
Your pulse that races when I'm close reads like a hoop of fire  
Your pulse that races when I'm close reads like a hoop of fire  
Your pulse that races when I'm close reads like a hoop of fire  

",Leather Jackets,1986,Pop,England,39,"['String (music)', 'Guitar', 'Nylon']","['String (music)', 'Music', 'Guitar', 'Musical instruments', 'String instruments', 'Chordophones', 'Entertainment', 'Nylon', 'Music technology', 'Novels']"

36,37,Elton John,Go It Alone,/e/elton+john/go+it+alone_20046400.html,"It's so hard to say goodbye  
When there's nothing left to give  
When this house is just a hill of bones  
Where you and I once lived  
If we put it back together  
By the skin of our teeth  
You'd still pull it all apart  
Bit by bit, piece by piece  
And I'll go it alone, call this house my home  
Build it up again with someone new  
Build it brick by brick, till I find a girl that fits  
This home's a whole lot better without you  
There's no passion alive  
When you count your phony schemes  
And the cars you drive to buy your friends  
They don't ever come back clean  
If the cards on the table  
Always turn up spades  
The cards that always cheat the hearts  
The spades you play just dug my grave  
And I'll go it alone, call this house my home  
Build it up again with someone new  
Build it brick by brick, till I find a girl that fits  
This home's a whole lot better without you  
And I'll go it alone, call this house my home  
I'm gonna build it up again with someone new  
Build it brick by brick, till I find a girl that fits  
This home's a whole lot better without you  
Oh, I'll go it alone, call this house my home  
Build it up again with someone new  
I'll build it brick by brick, till I find a girl that fits  
This home's a whole lot better without you  
Without you  
Without you  
Without you  
Without you  
Without you  
Without you  
...  

",Leather Jackets,1986,Pop,England,39,"['Spades', 'The Skin of Our Teeth', 'Brick']","['Card games', 'Games', 'Playing cards', 'Games of chance', 'Gaming devices', 'Ephemera', 'Games of mental skill', 'Tabletop games', 'Toys', 'Consumer goods']"

37,38,Elton John,Indian Sunset,/e/elton+john/indian+sunset_20046511.html,"As I awoke this evening with the smell of wood smoke clinging  
Like a gentle cobweb hanging upon a painted tepee  
Oh I went to see my chieftain with my warlance and my woman  
For he told us that the yellow moon would very soon be leaving  
This I can't believe I said, I can't believe our warlord's dead  
Oh he would not leave the chosen ones to the buzzards and the soldiers guns  
  
Oh great father of the Iroquois ever since I was young  
I've read the writing of the smoke and breast fed on the sound of drums  
I've learned to hurl the tomahawk and ride a painted pony wild  
To run the gauntlet of the Sioux, to make a chieftain's daughter mine  
  
And now you ask that I should watch  
The red man's race be slowly crushed  
What kind of words are these to hear  
From Yellow Dog whom white man fears  
  
I take only what is mine Lord, my pony, my squaw, and my child  
I can't stay to see you die along with my tribe's pride  
I go to search for the yellow moon and the fathers of our sons  
Where the red sun sinks in the hills of gold and the healing waters run  
  
Trampling down the prairie rose leaving hoof tracks in the sand  
Those who wish to follow me I welcome with my hands  
I heard from passing renegades Geronimo was dead  
He'd been laying down his weapons when they filled him full of lead  
  
Now there seems no reason why I should carry on  
In this land that once was my land I can't find a home  
It's lonely and it's quiet and the horse soldiers are coming  
And I think it's time I strung my bow and ceased my senseless running  
For soon I'll find the yellow moon along with my loved ones  
Where the buffaloes graze in clover fields without the sound of guns  
  
And the red sun sinks at last into the hills of gold  
And peace to this young warrior comes with a bullet hole

",Madman Across the Water,1971,Pop,England,24,"['Geronimo', 'Iroquois', 'Sioux', 'Running the gauntlet', 'Tipi', 'The Sound of Drums', 'Tribal chief', 'Moon', 'Squaw', 'Breastfeeding', 'Prairie', 'Dog', 'Warlord', 'Santa Monica Airport', 'Tomahawk', 'Buffalo, New York', 'Warrior']","['Indigenous peoples of North America', 'Geronimo', 'Iroquois', 'Moon', 'Literature', 'Fiction', 'Culture', 'Indigenous peoples of the Great Plains', 'Native American people', 'Sioux']"

38,39,Elvis Presley,Chesay,/e/elvis+presley/chesay_20049191.html,"What's in the drink, chase the devil away  
Magic I think so I just say Chesay  
Chesay, Chesay bring you good luck night and day  
Chesay, Chesay that's the gypsy way  
  
Trouble is my middle name, though it's such a crying shame  
Try and try there's nothing I can do  
But I'm feeling kinda strange, feel like things are going to change  
Time my lucky star was shining through  
Chesay, Chesay bring you good luck night and day  
Chesay, Chesay that's the gypsy way  
  
Drink a cup of gypsy love just tip it up and then you just say Chesay  
Swallow once then swallow twice, goes down so nice just say Chesay. Hey!  
  
What's in the drink, chase the devil away  
Magic I think so I just say Chesay  
Chesay, Chesay bring you good luck night and day  
Chesay, Chesay that's the gypsy way  
  
Chesay, Chesay brings you good luck night and day  
Chesay, Chesay that's the gypsy way  
Chesay, Chesay brings you good luck night and day  
Chesay, Chesay that's the gypsy way  
Chesay

",Frankie and Johnny (Movie),1966,Pop,United States,31,"['Luck', 'Devil', 'Chesay']","['Luck', 'Fiction', 'Literature', 'Novels', 'Devil', 'Entertainment', 'Speculative fiction', 'Arts', 'Creative works', 'Traditional stories']"

39,40,Elvis Presley,Do The Clam,/e/elvis+presley/do+the+clam_20049201.html,"Hey, everybody, gather 'round  
Listen to that bongo sound  
Grab the first one in your reach  
Now we're going to shake the beach  
  
Do the clam, do the clam  
Grab your barefoot baby by the hand  
Turn and tease, hug and squeeze  
Dig right in and do the clam  
  
You can get your heart to spin  
On the outside looking in  
Moon ain't gonna last all night  
Well, let's work up an appetite  
  
Do the clam, do the clam  
Grab your barefoot baby by the hand  
Turn and tease, hug and squeeze  
Dig right in and do the clam  
  
Everybody's got that beat  
Well, listen to those happy feet  
Ain't you glad that you found out  
What the clam is all about?  
  
Do the clam, do the clam  
Grab your barefoot baby by the hand  
Turn and tease, hug and squeeze  
Dig right in and do the clam  
  
Do the clam, do the clam  
Grab your barefoot baby by the hand  
Turn and tease, hug and squeeze  
Dig right in and do the clam  
Dig right in and do the clam

",Girl Happy (Movie),1965,Pop,United States,30,"['Clam', 'Happy Feet', 'Moon', 'Bongo drum', 'Hug']","['Recorded music', 'Music', 'Music media', 'Albums', 'Songs', 'Popular music', 'Pop music', 'Sound recording', 'Clam', 'Musical compositions']"

40,41,Elvis Presley,Earth Boy,/e/elvis+presley/earth+boy_20049206.html,"Earth boy dream of angel  
Angel she be sweet and make him have happy heart  
In land of love  
Angel dream of earth boy, earth boy who'll be true  
And love her till sun grow cold in land of love  
Angel walk on street  
Earth boy walking too  
All at once they meet  
Oo-oo-oo dreams come true  
Now best part of story  
Like two doves in land of love we will always be  
Happy angel is you  
Happy earth boy is me  
Angel walk on street  
Earth boy walking too  
All at once they meet  
Oo-oo-oo dreams come true  
Now best part of story  
Like two doves in land of love we will always be  
Happy angel is you  
Happy earth boy is me  
Earth boy dream of angel  
Angel dream of earth boy  
Earth boy dream of angel  
Angel dream of earth boy  
Earth boy dream of angel  

",Girls! Girls! Girls! (Movie),1962,Rock,United States,27,"['Earth', 'Angel', '2017-11-26T00:00:00.000-05:00']","['Earth', 'Literature', 'Entertainment', 'Fiction', 'Culture', 'Drama', 'Creative works', 'Religious belief and doctrine', 'Religion', 'Mythology']"

41,42,Elvis Presley,Hard Luck,/e/elvis+presley/hard+luck_20049225.html,"Oh I'm really feeling mighty low  
No, no, no, I got no place that I can go  
So I've got some blues to sing  
And oh, so much remembering, woe  
  
Black cats, keep away from me  
Take my advice, go shinning up a tree  
I got hard luck, the hardest kind a luck you'll find  
I ain't lyin', I've got the bluest kinda blues  
Drivin' me right outta my mind  
  
She's gone, said toodle-loo  
Kissed her good-bye and my-my, my money too  
I've got hard luck, the hardest kinda luck you've seen  
I mean, the way I'm runnin' lately  
My lucky number is thirteen  
  
Where do I belong, everything I do is wrong, all wrong  
Wrong as can be  
Who's stacking all the decks, lady luck has got the hex on me  
I'm on her knee  
  
Shove off, oh I'm warning you  
This thing I caught, you know could be catchin' too  
I've got hard luck, the hardest kinda luck there can be  
Yes siree, I guess hard luck always chooses  
Natural born losers like me

",Frankie and Johnny (Movie),1966,Pop,United States,31,"['Curse', 'Drivin']","['Television series', 'Recorded music', 'Entertainment', 'Albums', 'Music media', 'Fiction', 'Sound recording', 'Music industry', 'Creative works', 'Music']"

42,43,Elvis Presley,Double Trouble,/e/elvis+presley/double+trouble_20048032.html,"Some guys fall in love with one girl, I gotta fall for two  
There's just so much loving that one heart's supposed to do  
So I go around with my heart dragging on the ground  
Dogging me around, I'm the sorriest sight in town  
  
[Chorus]  
I got double trouble, I got double trouble  
I got double trouble twice as much as anybody else oh yeah!  
  
I guess there's gotta be two dark clouds hanging over me  
My future looks a bumpy as a matchbox on the sea  
Every time I think that I have finally got it made  
Some losing cards are played, I just can't make the grade  
  
[Chorus: x2]

",Double Trouble,1966,"Rock, pop",United States,31,,"['Games', 'Card games', 'Games of chance', 'Playing cards', 'Gaming devices', 'Ephemera', 'Games of mental skill', 'Entertainment', 'Tabletop games', 'Toys']"

43,44,Elvis Presley,Girl Of Mine,/e/elvis+presley/girl+of+mine_20048808.html,"When your asleep beside me, I watch you lying there  
Your hand upon the pillow and moonlight in your hair  
I get the warmest feeling, so good I almost cry  
I kiss your sleeping lips and say I'll love you 'till I die  
Oh girl of mine you make my day  
One sunny smile and all the clouds just roll away  
Eyes deep as the sea seem to say to me  
Our love will always be  
So girl of mine turn out the light  
And in my arms together we'll make sweet love tonight  
Down life's golden road and you'll always know  
I love you ... girl of mine  
Sometimes I know I hurt you when things ain't goin' right  
I walk away and leave you to face the lonely night  
I wouldn't blame you darlin' if you walked out on me  
But I return to find you there still waiting patiently  
Oh girl of mine you make my day  
One sunny smile and all the clouds just roll away  
Eyes deep as the sea seem to say to me  
Our love will always be  
So girl of mine turn out the light  
And in my arms together we'll make sweet love tonight  
Down life's golden road and you'll always know  
I love you ... girl of mine  

",Raised on Rock,1973,Pop,United States,38,"['Pillow', 'Smile']","['Fiction', 'Smile', 'Literature', 'Pillow', 'Novels', 'Entertainment', 'Creative works', 'Works', 'Culture', 'Drama']"

44,45,Grateful Dead,Midnight Hour,/g/grateful+dead/midnight+hour_20062495.html,"I'm gonna wait till the midnight hour  
That's when my love comes tumbling down  
I'm gonna wait till the midnight hour  
I'm gonna take you girl and hold you  
Do all things I told you in the midnight hour  
  
I'm gonna hold you in my arms and see the twinkle in your eyes  
I'm gonna wait till the midnight hour  
That's when my love begins to shine  
Youre the only girl I know  
Really love you so in the midnight hour

",Vintage Dead,1970,"Jamband, Psychedelic rock",United States,28,['In the Midnight Hour'],"['Recorded music', 'Entertainment', 'Albums', 'Music media', 'Sound recording', 'Pop music', 'English-language music', 'Novels', 'In the Midnight Hour', 'Television series']"

45,46,Grateful Dead,Casey Jones,/g/grateful+dead/casey+jones_20062446.html,"Driving that train, high on cocaine,  
Casey Jones you better, watch your speed.  
Trouble ahead, trouble behind,  
And you know that notion just crossed my mind.  
  
This old engine makes it on time,  
Leaves Central Station 'bout a quarter to nine,  
Hits River Junction at seventeen to,  
At a quarter to ten you know it's travelin' again.  
  
Driving that train, high on cocaine,  
Casey Jones you better, watch your speed.  
Trouble ahead, trouble behind,  
And you know that notion just crossed my mind.  
  
Trouble ahead, Lady in red,  
Take my advice you'd be better off dead.  
Switchman's sleeping, train hundred and two is  
On the wrong track and headed for you.  
  
Driving that train, high on cocaine,  
Trouble ahead, trouble behind,  
And you know that notion just crossed my mind.  
  
Trouble with you is the trouble with me,  
Got two good eyes but you still don't see.  
Come round the bend, you know it's the end,  
The fireman screams and the engine just gleams

",Workingman's Dead,1970,Classic rock,United States,28,"['Casey Jones', 'Cocaine', 'Switchman', 'Central Station', 'Lady']","['Casey Jones', 'Rail transport', 'American railroaders', 'People from Fulton County, Kentucky', 'People from Jackson, Tennessee', 'Railroad engineers', 'Railway safety', 'Fulton County, Kentucky', 'Transport', 'Railway accidents']"

46,47,Grateful Dead,Cosmic Charlie,/g/grateful+dead/cosmic+charlie_20062306.html,"Cosmic Charlie how do you do  
Truckin' in style along the avenue  
Dum de dum de do da lee do  
Go on home your mama's calling you.  
  
Calico Cal, ya come tell me the news  
Calamity's waiting for a way to get to her  
Rosey red and electric blue  
I bought you a paddle for your paper canoe.  
  
Say you'll come back when you can  
Whenever your airplane happens to land  
Maybe I'll be back here too  
It all depends on what's with you.  
  
Woke up waiting for a windy day  
Cat on I ? since the first of February  
Mama keeps saying that the wind might blow  
But standing here I say I just don't know.  
  
New ones come in as the old ones go  
Everything's moving here but much too slowly  
A little bit quicker and we might have time  
To say how do you do before we left behind.  
  
Calliope wail like a seaside zoo  
The very last lately inquired about you  
It's really very one or two  
The first you wanted the last I knew.  
  
I just wonder if you shouldn't feel  
Less concerned about the people unreal  
The very first word is how do you do  
The last go home your mama's calling you.  
  
Calling you oh, oh, oh, oh, h,  
Calling you oh, oh, oh,  
Calling you oh, oh, oh,  
Calling you oh, oh, oh  
  
Calling you oh, oh, oh,  
Go on home your mama's calling you  
Calling you oh, oh, oh,  
Go on home your mama's calling you  
Calling you oh, oh, oh,  
Go on home your mama's calling you  
Go on home your mama's calling you

",Aoxomoxoa,1969,Psychedelic rock,United States,27,"['Canoe', 'Paddle', 'Calliope', '2018-02-01T00:00:00.000-05:00', 'Charlie', 'Truckin', 'Dum de', 'lee', 'Calico Cal', 'Rosey', 'Everything']","['Television episodes', 'American television episodes', 'Television series', 'Entertainment', 'Fiction', 'Canoe', 'Creative works', 'Literature', 'Novels', 'Drama']"

47,48,Grateful Dead,Dark Star,/g/grateful+dead/dark+star_20062415.html,"Dark star crashes, pouring its light into ashes.  
Reason tatters, the forces tear loose from the axis.  
Searchlight casting for faults in the clouds of delusion.  
Shall we go, you and I while we can  
  
Through the transitive nightfall of diamonds?  
Mirror shatters in formless reflections of matter.  
Glass hand dissolving to ice petal flowers revolving.  
Lady in velvet recedes in the nights of goodbye.  
  
Shall we go, you and I while we can  
Through the transitive nightfall of diamonds?

",Live/Dead,1969,Psychedelic rock,United States,27,"['Mirror', 'Flower', 'Searchlight', 'Petal', 'Axis powers', 'Delusion']","['Glass applications', 'Optics', 'Equipment', 'Electromagnetic radiation', 'Natural philosophy', 'Glass engineering and science', 'Glass', 'Applied and interdisciplinary physics', 'Optical materials', 'Materials']"

48,49,Jimi Hendrix,Gypsy Eyes,/j/jimi+hendrix/gypsy+eyes_20071678.html,"Well I realizes I've been hypnotized  
I love you gypsy eyes  
I love you gypsy eyes  
  
All right  
Gypsy  
  
Way up in my tree I'm sitting by my fire  
Wonderin' where in this world might you be  
And known' all the time  
Your still rollin' along the country side  
Do you still think about me?  
  
Oh my  
Gypsy  
  
Well I walked right on up to your rubble road side  
The one that rambles on for a million miles  
Yes I walked down this road searching for your love  
And I found some too  
But I found her I ain't gonna let go  
  
I remember the first time I saw you  
The tears in your eyes oh that girl's tryin' to say  
Oh little girl you know I could love you  
But first I must make my getaway  
Two strange men fightin' to the death over me today  
I'll try and meet you by the old highway  
Hey!  
  
Well I realize that I've been hypnotized  
I love you gypsy eyes  
I love you gypsy eyes  
I love you gypsy eyes  
I love you gypsy eyes  
  
I've been searching so long  
I think they made me lose the battle  
Down against the road my worry knees  
Off to the side I fall but I hear her sweet call  
My gypsy eyes fine and I've been saved  
Oh I've been saved  
That's why I love you  
I said I love you  
Lord I love you

",Electric Ladyland,1968,Rock,United States,25,['1000000'],"['Television episodes', 'American television episodes', 'Entertainment', 'Fiction', 'Television series', 'Literature', 'Creative works', 'Novels', 'Drama', 'Recorded music']"

49,50,Jimi Hendrix,Crosstown Traffic,/j/jimi+hendrix/crosstown+traffic_20071675.html,"You jump in front of my car when you, you know all the time that  
Ninety miles an hour, girl, is the speed I drive.  
You tell me it's alright, you don't mind a little pain.  
You say you just want me to take you for a ride.  
  
You're just like crosstown traffic, so hard to get through to you.  
Crosstown traffic, I don't need to run over you.  
Crosstown traffic, all you do is slow me down  
And I'm trying to get on the other side of town.  
  
I'm not the only soul who's accused of hit and run,  
Tire tracks all across your back, uh-huh, I can see you had your fun.  
But a darling, can't you see my signals turn from green to red  
And with you I can see a traffic jam straight up ahead.  
  
You're just like Crosstown traffic, so hard to get through to you.  
Crosstown traffic, I don't need to run over you.  
Crosstown traffic, all you do is slow me down  
And I got better things on the other side of town.  
  
Yeah now crosstown traffic, look out, look out, baby, let me through.  
Crosstown traffic yeah, look out.  
Crosstown traffic yeah, look out, look out, look out.  
Crosstown traffic yeah, look out, watch that street.

",Electric Ladyland,1968,Rock,United States,25,"['Traffic congestion', 'Tire', 'Crosstown', '90']","['Recorded music', 'Albums', 'Music media', 'Sound recording', 'Music industry', 'Popular music', 'Monster Energy NASCAR Cup Series seasons', 'Music', 'Entertainment', 'Monster Energy NASCAR Cup Series']"

50,51,Jimi Hendrix,Message Of Love,/j/jimi+hendrix/message+to+love_20071574.html,"Well we're,  
I said we're traveling at a speed of a reborn man  
We got a lot of love to give  
You better come on if you can  
So I talk about love  
They try to run away  
Check yourself out baby  
And then come with me today  
Mmm mmm good lover  
Over here  
Hey  
Dooooo yeah!  
Dooooo yeah!  
  
Mmm so good  
Yeah, oh so tasty  
Here comes a woman  
Wrapped up in chain  
You're foolin' with that fool baby  
You put your life in pain  
If you want to be free  
Come on along with me  
And leave the hard headed man  
He'll never understand  
I said a find yourself first  
And then your talent  
Work hard in your mind  
For it could come alive  
Then prove to the man  
That understands  
The eyes are god  
  
Whoo  
Come one baby  
  
Doodoo doodoo...  
  
Everybody memorize  
Everybody love a lot  
Everybody here today  
  
Hey  
Yeah, yeah  
Hey  
Come on baby  
Come on  
Come on  
Fly with me baby

",Band of Gypsys,1970,Classic rock,United States,27,"['God', 'Mmm mmm', 'Whoo', 'Dooooo', 'Doodoo']","['Literature', 'Entertainment', 'Fiction', 'Albums', 'Recorded music', 'Culture', 'Creative works', 'Television episodes', 'American television episodes', 'Drama']"

51,52,Jimi Hendrix,Red House,/j/jimi+hendrix/red+house_10149565.html,"Ah yeah!  
There's a red house over yonder,  
That's where my baby stays  
Lord, there's a red house over yonder  
Lord, that's where my baby stays  
I ain't been home to see my baby  
In ninety nine and one half days  
  
Wait a minute, something's wrong here  
The key won't unlock this door  
Wait a minute, something's wrong, lord, have mercy  
This key won't unlock this door,  
Something's goin' on here  
I have a bad bad feeling  
That my baby don't live here no more  
  
Well, I might as well go back over yonder,  
Way back up on the hill  
That's something to do  
Lord, I might as well go back over yonder,  
Way back yonder cross the hill  
'Cause if my baby don't love me no more  
I know her sister will  
Yeah.

",Are You Experienced,1967,Classic rock,United States,24,['Lord'],"['Fiction', 'Entertainment', 'Literature', 'Culture', 'Creative works', 'Drama', 'Religious belief and doctrine', 'Novels', 'Religion', 'Theology']"

52,53,Jimi Hendrix,Them Changes,/j/jimi+hendrix/them+changes_20071577.html,"Jimi:  
""buddy miles is goin' to do something he wrote called 'them changes'.""  
  
Well my mind is goin' through them changes  
I feel just like I'm in the time  
Every time you see me goin' some where  
I feel like I'm going out of my mind, yeah  
Oh, my baby she left me the other day  
And we were have so much fun yeah, yeah  
Oh, my baby she stepped out on me  
And that's the reason why she had to part  
It's alright yeah yeah  
It's alright  
What I say  
It's alright  
Ooo hooo  
Well my mind is goin' through them changes  
I think I'm goin' out of my mind  
Every time you see me goin' some where  
I think I could commit a crime know  
She had me runnin'  
She had me cryin'  
She had me runnin'  
She had me had me had me cryin'  
She had me runnin'  
She had me cryin'  
She had me runnin'  
Had me cryin'  
It's alright yeah yeah  
It's alright  
Clap your hands  
Go clap your hands  
Can you clap a little louder  
It's alright  
It's alright  
Everything goin' to be alright  
It's alright x5  
Yeah, yeah, everybody yeah  
Yeah x12  
Oh no  
I want my love x3  
It's alright  
Whaa  
It's alright he he  
It's alright  
  
Jimi:  
""buddy miles there""

",Band of Gypsys,1970,Classic rock,United States,27,"['Buddy Miles', 'Ooo', 'Jimi']","['Buddy Miles', 'Recorded music', 'Albums', 'Entertainment', 'Music', 'American musicians', 'Culture', 'Music media', 'English-language music', 'Music industry']"

53,54,Jimi Hendrix,Voodoo Child,/j/jimi+hendrix/voodoo+child_20071612.html,"Well, I stand up next to a mountain  
And I chop it down with the edge of my hand  
Yeah  
Well, I stand up next to a mountain  
And I chop it down with the edge of my hand  
Well, I pick up all the pieces and make an island  
Might even raise a little sand  
Yeah  
'Cause I'm a voodoo child  
Lord knows I'm a voodoo child baby  
I want to say one more last thing  
I didn't mean to take up all your sweet time  
I'll give it right back to ya one of these days  
Hahaha  
I said I didn't mean to take up all your sweet time  
I'll give it right back one of these days  
Oh yeah  
If I don't meet you no more in this world then uh  
I'll meet ya on the next one  
And don't be late  
Don't be late  
'Cause I'm a voodoo child voodoo child  
Lord knows I'm a voodoo child  
Hey hey hey  
I'm a voodoo child baby  
I don't take no for an answer  
Question no  
Yeah

",Electric Ladyland,1968,Rock,United States,25,"['Defender (association football)', 'Hey', 'Hahaha']","['Entertainment', 'Music', 'Creative works', 'Recorded music', 'Songs', 'Performing arts', 'Rock music', 'Pop music', 'English-language music', 'American music articles needing attention']"

54,55,John Legend,Heaven,/j/john+legend/heaven_20358443.html,"Heaven only knows[x5]  
  
Last night was the worst night  
Beginning of the end  
Or maybe it began  
Before it here we go again  
Things got so dramatic  
Things got out of hand  
We said words we couldn't imagine  
I don't understand  
  
There you go with the same old thing  
When things go wrong, you always seem to blame me  
Now I would like to find what secrets hide in your mind  
Where the end will go  
Will I ever know?  
  
[Chorus]  
Heaven only knows  
Heaven only knows  
Heaven only knows  
Heaven only knows  
  
So let's make this night the best night  
It's time for second chance  
Turn the beat up on repeat, and we can start to dance  
  
Sometimes when we talking words  
Drowned on by the sound  
Let's get back to touch, and we'll get back on solid ground  
  
Let's hold hands  
Like a young romance  
Let's first kiss like the moment we first did  
Can we make love  
Like back way in the day?  
We can lose control  
Baby, don't say no  
  
[Chorus]  
  
So will you come back to me?  
Heaven only knows  
So will you come back to me?  
  
Make this night the best night  
It's time for second chance  
Turn the beat up on repeat, and we can start to dance  
  
[Chorus]

",Once Again,2006,R&B/soul,United States,28,"['Refrain', 'Heaven']","['Entertainment', 'Heaven', 'Refrain', 'Literature', 'Performing arts', 'Culture', 'Fiction', 'Music', 'Drama', 'Creative works']"

55,56,John Legend,Penthouse Floor,/j/john+legend/penthouse+floor_21112140.html,"[Verse 1: John Legend]  
All this trouble in this here town  
All this shit going down  
When will they focus, on this?  
Streets ride up with the TV crews  
Look ma, we on the news  
But they didn't notice, before this  
They float above the city lights  
Forget the truth, inhale the lies  
Just enjoy the show  
They see us reaching for the sky  
Just in order to survive  
  
[Chorus: John Legend]  
Maybe we should go  
Go to the penthouse floor (let's go, let's go, let's go)  
Go to the penthouse floor (let's go, let's go, let's go)  
Let's ride the elevator, they can't keep us out no more  
Go to the penthouse floor (let's go, let's go, let's go)  
Penthouse floor  
  
[Verse 2: John Legend]  
All that bubbly, all that wine  
Oh man, look at the times  
Didn't they notice, notice?  
Only future I can see, ain't what it used to be  
And I didn't know this, I didn't know this  
Once you're above the city lights  
Won't want to spend another night, down there on your own  
The holding on is made for us  
The altitude is dangerous, but we ain't going home  
  
[Chorus: John Legend]  
Go to the penthouse floor (let's go, let's go, let's go)  
Go to the penthouse floor (let's go, let's go, let's go)  
Let's ride the elevator, it's what we've been waiting for  
Can't keep us out no more (let's go, let's go, let's go)  
Penthouse floor  
  
[Verse 3: Chance The Rapper]  
I heard this old joke once, it was like, uh  
Knock knock, who there, it's us, us who?  
Just us, who dis? Just playin'  
Just me, new phone, new hair, new era  
I'm in the penthouse, baby  
Handpicked from bad apples and bad eggs  
Held back, I had to grab crab legs  
And then there were only but a few  
Conversations held with patience, what a party, what a view  
What a dress, what a song  
What a beautiful time  
My folks downstairs still waitin' in line  
They never been in these rooms  
Never stayed with these folks  
Never laughed at the news, never hated these jokes  
So as I fly in my suit, in a group, undercover  
Forcin' a new smile, he tells me another  
He said ""What happened to the boy that climbed up the trunk?""  
Then he pushed me off the top and said ""Jump, nigga, jump!""  
  
[Bridge: John Legend]  
Oh, don't bring me down, I need a room in the clouds  
I wanna get there babe, I wanna elevate  
Oh my favorite mix, a little ignorance and bliss  
In the penthouse babe, go to the penthouse  
  
[Chorus: John Legend]  
Go to the penthouse floor (let's go, let's go, let's go)  
Go to the penthouse floor (let's go, let's go, let's go)  
Let's ride the elevator, it's what we've been waiting for  
We'll tear down those penthouse doors (let's go, let's go, let's go)  
Those penthouse doors  
We'll tear down the penthouse doors (let's go, let's go, let's go)  
Baby, I'm in the penthouse floor  
Baby, let's ride the elevator  
Til we can rise some more  
Go to the penthouse floor, penthouse floor (let's go, let's go, let's go)

",Darkness and Light,2016,R&B/soul,United States,38,"['Song structure', 'Sky', 'Elevator', 'John Legend', 'Conversation', 'Chance the Rapper', 'Refrain', 'Altitude']","['Songs', 'Song structure', 'Music', 'Musical compositions', 'Recorded music', 'Vocal music', 'John Legend', 'Pop songs', 'Popular music', 'Sky']"

56,57,John Legend,Refuge,/j/john+legend/refuge_10152526.html,"I pray for better days to come  
I pray that I would see the sun  
Cuz life is so burdensome  
When everyday's a rainy one  
  
But suddenly there's no more clouds  
I believe without a doubt  
That heaven sent an angel down  
And then she turned my life around  
  
You know and I know  
Friends come and friends go  
Storms rise and winds blow  
But one thing I know for sure  
  
When it's cold outside  
There's no need to worry cuz  
I'm so warm inside  
You give me peace  
When the storm's outside  
Cuz we're in love I know  
It'll be alright  
Alright it's alright  
  
Oooh...  
  
Now peace is so hard to find  
We're terrorized and victimized  
But that's when I close my eyes  
And think of you to ease my mind  
You take me to another place  
There's no more war (no more war)  
Just love and grace  
Baby you restore my faith  
I know the struggle's not in vain  
You know and I know  
Through all the battles  
Baghdad to Israel  
There's one thing I know for sure  
  
When it's cold outside  
There's no need to worry cuz  
I'm so warm inside  
You give me peace  
When the storm's outside  
Cuz we're in love I know  
It'll be alright  
Alright it's alright  
  
Alright it's alright  
Alright it's alright  
Alright it's alright  
  
Oh...  
When it's cold outside  
There's no need to worry cuz  
I'm so warm inside  
You give me peace  
When the storm's outside  
Cuz we're in love I know  
It'll be alright  
Alright it's alright  
  
Oh it's gonna be alright  
Ooh...  
  
Cuz you give me peace  
In the middle of the storm  
When it's cold you're keeping me warm  
It's alright  
It's alright  
I'm never gonna leave  
You give me what I need  
It's alright, alright

",Get Lifted,2004,Neo-soul,United States,26,"['Heaven', 'Israel', 'Baghdad', '2017-11-26T00:00:00.000-05:00', 'Cuz']","['Literature', 'Heaven', 'Religion', 'Culture', 'Fiction', 'Israel', 'Entertainment', 'Novels', 'Religious belief and doctrine', 'Television episodes']"

57,58,John Legend,Shine,/j/john+legend/shine_20889581.html,"They wait to plead their case, unknown cast aside.  
I love to see their face, can we spare the light?  
Are we afraid to see the prisoners of history?  
These beautiful minds, trapped inside.  
Bring them back to life.  
  
Let 'em shine.  
Let 'em shine on.  
Let 'em shine.  
Let 'em shine on.  
  
So dark, but I see sparks, if we don't snuff them out.  
We gotta light them flame, let them speak their name.  
Let them reach up to the clouds.  
Can't eat if we don't feed them.  
Can't read if we don't teach them.  
There's no line if we just hide them.  
Don't just let 'em die.  
  
Let 'em shine.  
Let 'em shine on.  
Let 'em shine.  
Let 'em shine on.  
Let 'em shine.  
Let 'em shine on.  
  
Oh stars flicker in the distance, lonely out in space.  
They sing out when we're not listening, because we don't see their face.  
We can let them die, we can make them high.  
Hold the little miracles that live inside.  
Let 'em shine.  
  
Let 'em shine.  
Let 'em shine on.  
Let 'em live.  
Let 'em shine on.  
Let 'em read on.  
Let 'em shine on.  
Let 'em grow.  
Let 'em shine on.  
Come on, let them love.  
Come on, let them love.  
Come on, let them love.  
Yeah.  
Yeah (let them love)  
  
Hold them close, let them know they'll get through the night  
Ordinary people could be a hero, don't blow out the light.  
Let 'em shine.  
Let 'em shine on.  
Let 'em shine.  
Let 'em shine on.  
Yeah, yeah, yeah.  
Let them shine on.

",Wake up!,2010,Hip-hop/rap,United States,32,,"['Entertainment', 'Fiction', 'Speculative fiction', 'Literature', 'Creative works', 'Elements of fiction', 'Television series', 'Drama', 'Culture', 'Television episodes']"
